artist,album,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target
Shankar-Ehsaan-Loy,Zindagi Na Milegi Dobara,Ik Junoon (Paint It Red),7e6qTHVfRdaYsio90s1fHC,53,0.79,0.848,2,-7.798,1,0.0508,0.364,0.00147,0.148,0.641,127.034,299119,4,0
Pritam,Cocktail,"Tum Hi Ho Bandhu (From ""Cocktail"")",2zZTXtLqCsICzEcztKjn47,51,0.714,0.892,11,-5.342,0,0.0516,0.00145,0.000817,0.0462,0.899,134.997,282012,4,0
Various Artists,Baar Baar Dekho (Original Motion Picture Soundtrack),Sau Aasmaan,0zHZSO80CTxNtvtRhveHRJ,63,0.63,0.729,6,-4.93,1,0.0287,0.123,8e-06,0.0786,0.44,127.919,234737,4,0
Various Artists,Karwaan,Saansein,6l1VsKiMyaUWElFrM1rsuu,57,0.693,0.518,1,-9.146,1,0.0282,0.653,0.531,0.138,0.374,128.041,266042,4,0
Badshah,The Badshah of Party Hits,Kar Gayi Chull,3fPgIknlkDWXs1l2noKZbp,58,0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,187711,4,0
Coheed and Cambria,The Gutter (Acoustic),The Gutter - Acoustic,5jb1zewrZFlNX6XXHDRmeB,30,0.518,0.36,11,-8.544,0,0.0544,0.806,0,0.181,0.269,123.306,373467,4,0
Blindlove,I Wanna Be Okay,I Wanna Be Okay,2uof4AJBrq12JusiOjXN7g,41,0.448,0.656,2,-5.096,1,0.027,0.00629,1.88e-06,0.333,0.13,158.127,222635,4,1
Our Last Night,Let Light Overcome The Darkness,Lost - Acoustic,52NOlQ9uA02ulY9E86hpRv,40,0.562,0.34,3,-7.446,1,0.0293,0.79,0,0.154,0.448,146.992,233769,4,0
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),The Sacred Land of Artemis,5BPUfta2IcMFNHFdOFHZJi,31,0.84,0.0996,7,-17.873,1,0.101,0.772,0.749,0.0945,0.173,108.048,90654,3,1
Shankar-Ehsaan-Loy,2 States,Offo,3f26GAn3yOXfoclLyN8AdD,47,0.799,0.609,3,-6.729,1,0.0448,0.0158,0,0.0642,0.758,130.031,213942,4,0
Amit Trivedi,Udta Punjab,Ud-daa Punjab,7yn0E97MoGLBaW8mqIwqNr,51,0.909,0.906,1,-3.701,1,0.206,0.09,1.25e-05,0.287,0.625,121.996,274701,4,1
Suni Clay,Suni Clay,My Hood (Full Mix),1buitg9HpTppOpOvXVu6E9,45,0.677,0.936,0,-3.036,0,0.151,0.134,0,0.156,0.762,99.943,271413,4,0
Celldweller,Celldweller,One Good Reason,4RdhhJ3PWp7DzYV8qW3xU0,0,0.242,0.947,1,-5.727,1,0.169,0.000117,0.000271,0.324,0.397,102.503,232987,4,0
Pritam,"Hawayein (From ""Jab Harry Met Sejal"")","Hawayein (From ""Jab Harry Met Sejal"")",6871FKHumiy1Wfr6vF7Xxt,58,0.606,0.601,2,-5.576,1,0.0283,0.795,0.000522,0.127,0.453,125.964,289999,4,1
Darshan Raval,Bhula Diya - Single,Bhula Diya,23Sw6Z8SSco0uJgfZNh4q5,1,0.331,0.465,0,-5.954,1,0.0397,0.556,0,0.356,0.11,136.193,217941,4,0
Arijit Singh,Groove With Arijit Singh,"Ilahi (From ""Yeh Jawaani Hai Deewani"")",0VxgNsSywsjapKGXvzj8RH,46,0.594,0.967,9,-5.767,1,0.0857,0.166,2.54e-05,0.105,0.452,132.009,228982,4,0
Vishal-Shekhar,Break Ke Baad,Adhoore,298atiKYvG84VfbXNbZiX5,48,0.799,0.542,0,-7.142,1,0.0308,0.0858,1.5e-06,0.126,0.673,107.993,264210,4,1
Darshan Raval,Saari Ki Saari 2.0,Saari Ki Saari 2.0,34ppgPuSUgKIqUIBT26ulf,64,0.309,0.354,4,-8.894,1,0.0256,0.83,3.15e-05,0.0684,0.2,83.958,248222,4,0
Revis,Places For Breathing,Seven,3W6X3uFO8Bf3Y0XiEsYHPw,34,0.505,0.893,4,-3.841,0,0.0464,0.00172,0,0.246,0.227,147.971,253600,4,0
Shreya Ghoshal,Best Of Shreya Ghoshal,"Ye Ishq Hai (From ""Jab We Met"")",1UHVj0W8BRn08AXvWcv8i6,48,0.823,0.637,5,-7.127,0,0.159,0.436,2.15e-06,0.255,0.873,118.043,280974,4,0
Vishal-Shekhar,Anjaana Anjaani,I Feel Good,09sq0BHe85uV2ADUx1gaiA,45,0.636,0.785,7,-6.876,0,0.0279,0.0262,0.00136,0.297,0.749,125.974,317505,4,1
Harris Jayaraj,Orange,Chilipiga,2mUvMLSJmlo5iI8PMLRRJz,46,0.657,0.458,0,-10.035,1,0.0272,0.409,1.67e-06,0.157,0.339,93.484,328617,4,1
Various Artists,Kabir Singh,Mere Sohneya,7sJQv0LRPgM2xCkkdWOlyj,65,0.376,0.643,9,-5.713,1,0.0411,0.558,0,0.217,0.646,136.224,193356,5,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),The 300,6Ki8AKy3LkYW5r8oug7MVi,35,0.189,0.339,2,-18.32,1,0.0382,0.683,0.832,0.206,0.101,91.946,262108,4,1
Shankar-Ehsaan-Loy,Wake Up Sid (Original Motion Picture Soundtrack),Wake Up Sid! - Club Mix,3lxaMlRmb2r3rLXhhJVj1u,40,0.556,0.701,2,-6.537,1,0.0346,0.0374,0,0.122,0.927,139.981,223947,4,0
Sachin-Jigar,"Jeena Jeena (From ""Badlapur"")","Jeena Jeena (From ""Badlapur"")",5ZhKD46Q7mhsl0awl7ZMJc,52,0.677,0.318,5,-9.196,1,0.028,0.775,0,0.118,0.585,104.983,228969,4,0
KK,Pal,Pyaar Ke Pal,6GWchpKWsKkwR6jcl0yG6V,47,0.599,0.135,4,-12.376,1,0.0308,0.845,2.43e-05,0.11,0.168,122.107,359373,3,0
Dieselboy,The Dungeonmaster's Guide (Disc 1),You Must Follow - Evol Intent VIP,3t6JUvcsEn7l8RWrPhiBGN,38,0.505,0.98,11,-6.675,1,0.133,0.000103,0.427,0.824,0.31,170.022,338960,4,0
A.R. Rahman,Highway,Maahi Ve,1sbW5E7w8tnqpYk0Frx8QG,57,0.604,0.72,5,-7.276,1,0.0603,0.571,1.18e-05,0.12,0.528,130.995,240784,4,0
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Passing the Torch,0ZjorVjyX40Rw0qkcqgSsb,26,0.231,0.201,2,-22.07,0,0.0445,0.863,0.81,0.0929,0.0293,83.93,103968,4,1
Shankar-Ehsaan-Loy,Zindagi Na Milegi Dobara,Dil Dhadakne Do,46elU7IBKWf55D5sjHGqO7,54,0.778,0.599,2,-4.758,1,0.032,0.0705,0,0.59,0.949,116.951,230319,4,1
Armaan Malik,Bollywood Romantic Songs With Armaan Malik,Main Agar Kahoon-Bol Do Na Zara,1Bazi2zsEYbyFQVZLCUpxA,33,0.572,0.366,6,-8.675,0,0.03,0.911,1.61e-06,0.102,0.355,134.023,294754,3,1
Pritam,Yeh Jawaani Hai Deewani,Balam Pichkari,18e3XXYCv4Tx8uUl1mP3CN,58,0.732,0.944,0,-4.115,1,0.09,0.209,0,0.403,0.957,120.019,288903,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),On the Battlefield,74wPbV0uxxjQh9hw3cMsTt,29,0.317,0.76,0,-14.633,1,0.0671,0.508,0.884,0.13,0.0395,117.081,296661,4,1
Imminence,Turn the Light On: Acoustic Reimagination,Crawling - Acoustic,5ScpZZgpudFJBPVU2ssI2m,34,0.388,0.273,4,-8.231,0,0.0286,0.55,0.00244,0.108,0.232,109.702,183545,4,0
3 Doors Down,3 Doors Down,Citizen/Soldier,43Tzmi4Lw0GcZRAE4xqwOg,44,0.638,0.818,8,-5.524,1,0.0334,0.0136,0.0103,0.191,0.47,97.021,232933,4,1
Shantanu Moitra,3 Idiots,Give Me Some Sunshine,1Qt0OGUUPibpmk1FpFQ43m,53,0.67,0.61,0,-7.987,1,0.0579,0.381,6.92e-06,0.106,0.547,97.992,245130,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Things Fall Apart,7E7UTl0bFNIvTCbFDZ3Z0D,28,0.111,0.264,7,-19.631,0,0.0472,0.837,0.948,0.101,0.0663,93.652,177766,4,1
Darshan Raval,Kaash Aisa Hota - Single,Kaash Aisa Hota,5aA9HqRPZHROKWrO5RczTm,1,0.395,0.393,7,-9.498,0,0.0317,0.857,1.77e-06,0.114,0.274,75.964,212800,4,0
A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),Roobaroo,3vqJY3pVELLIxqXXyI08yr,56,0.675,0.582,9,-8.891,1,0.0277,0.661,5.56e-06,0.0854,0.538,120.991,282973,4,0
Asha Bhosle,"Hungama Ho Gaya (From ""Queen"") - Single","Hungama Ho Gaya (From ""Queen"")",4ZiH6RyMrw2vlgD6vrvzBd,38,0.624,0.847,8,-7.246,0,0.0455,0.103,0.202,0.284,0.507,138.059,271586,4,0
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),A Happy Family,3HQM5KOYe7GsnepMzzcrQW,30,0.357,0.103,9,-21.736,0,0.0357,0.834,0.792,0.352,0.0379,79.982,279136,4,1
Various Artists,Vicky Donor,"Pani Da Rang Male (From ""Vicky Donor"")",6sfVSlvCl5evgokuWNrHbE,57,0.679,0.622,4,-8.514,0,0.0328,0.272,6.52e-05,0.106,0.483,98.028,240787,4,1
A.R. Rahman,Delhi-6,Masakali,5iyNH1Dmxif1k4Nl1gMeuh,54,0.678,0.622,5,-7.988,0,0.0695,0.138,2.32e-06,0.122,0.535,100.005,288647,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Athenian Fighters,7w27EtpY7m9PpTkaUfsgjV,31,0.585,0.546,2,-13.846,1,0.0309,0.185,0.914,0.0646,0.226,130.03,239142,4,1
Shankar-Ehsaan-Loy,Best of SEL,"Aaj Kal Zindagi (From ""Wake Up Sid "")",3uhMb1xevkSqoU8re2lVOQ,26,0.639,0.617,4,-8.897,1,0.0329,0.21,0.00558,0.099,0.405,134.95,254507,4,0
Pritam,Yeh Jawaani Hai Deewani,Ghagra,5YY8EsBdUYAg1NJQIvgCEj,52,0.706,0.92,8,-5.208,1,0.172,0.222,0,0.319,0.696,101.94,304307,4,0
Shaarib Toshi,"Bandeya (feat. Arijit Singh) [From ""Dil Juunglee""]","Bandeya (feat. Arijit Singh) - From ""Dil Juunglee""",6gwnKOvdBKkTU4CQ7KpIAu,60,0.465,0.551,7,-6.58,1,0.0362,0.619,6.03e-06,0.109,0.415,89.459,184666,4,1
Breaking Benjamin,Dark Before Dawn,Ashes of Eden,7HjNOz8Y7H7uSySXuHNg1Y,63,0.241,0.534,3,-7.207,1,0.0321,0.0561,2.13e-06,0.103,0.277,159.974,293640,4,1
Ayushmann Khurrana,Yahin Hoon Main,Yahin Hoon Main,30UWFQsrAfkzcsRWaiNLtU,48,0.633,0.558,3,-6.572,1,0.0275,0.0839,1.1e-06,0.0982,0.501,110.012,238121,4,0
Various Artists,Sarbjit,Salamat,1SRUb3cwUSuQmkRFTIoWM0,56,0.44,0.57,4,-7.101,0,0.0303,0.851,0.00367,0.168,0.202,120.807,269997,4,1
Pritam,Love Aaj Kal,"Twist (From ""Love Aaj Kal"")",5PatlLJYn8gWxnQnepzMjW,44,0.721,0.944,7,-4.995,1,0.142,0.0393,5.86e-05,0.0747,0.728,109.014,299440,4,0
Hyper,We Control,We Control,7iNN6Mv9iW9eRnaG0srOFh,47,0.562,0.819,2,-6.674,1,0.0432,4.13e-05,0.118,0.433,0.476,133.014,201360,4,1
Vishal-Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),Bin Tere,3bZPdEskcnMdepwCaDSJRl,57,0.585,0.698,9,-6.261,1,0.0392,0.42,3.59e-06,0.363,0.621,139.831,330360,4,1
Pritam,Chhichhore,Khairiyat,5O932cZmzOZGOGZz9RHx20,72,0.524,0.48,0,-9.017,0,0.0426,0.696,0,0.142,0.285,124.879,280282,4,1
Vishal-Shekhar,Bang Bang (Original Motion Picture Soundtrack),Tu Meri,39TJkE0AEkfWii8VB3JqSV,40,0.679,0.688,8,-5.522,1,0.0293,0.0773,0,0.704,0.424,127.951,257089,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Leonidas Fallen,0xtiezchZLHnDXxPzSU4Yl,28,0.161,0.258,2,-17.747,1,0.0492,0.211,0.709,0.14,0.0346,130.514,140199,3,1
Five Finger Death Punch,American Capitalist (Deluxe),Remember Everything,4G2GSsAneHpcG5J8cKGXyw,55,0.368,0.824,1,-4.07,0,0.0401,0.00943,0,0.11,0.12,161.974,278813,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),"Athens, Birthplace of Democracy",3rhzaKqPxcLmRIvMHx8iZd,28,0.404,0.157,9,-15.011,0,0.0296,0.961,0.841,0.072,0.0372,81.846,64080,4,1
Tanishk Bagchi,"Makhna (From ""Drive"")",Makhna,0ZHILXmUaVSLEOCWxPQ1ga,72,0.696,0.704,1,-7.876,1,0.0423,0.167,0,0.155,0.426,124.972,183000,4,0
Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Cutiepie,7hXnhouVPnOnFwCGrQMHvB,60,0.799,0.929,0,-3.231,0,0.0668,0.253,0.000462,0.24,0.952,127.999,231562,4,1
Ayushmann Khurrana,Latest Songs Of Ayushmann Khurrana,Saadi Galli Aaja,0qVNxbFE4EUV3mNFodXiln,37,0.739,0.836,2,-5.155,1,0.0325,0.195,3.64e-06,0.197,0.677,109.011,253417,4,1
Various Artists,Jolly Ll.B 2,Bawara Mann,43wLf5iwEFm65mp6K06kVy,53,0.474,0.454,8,-8.334,1,0.0259,0.678,0.00175,0.313,0.338,85.046,216073,4,1
Pritam,Love Aaj Kal,"Chor Bazari (From ""Love Aaj Kal "")",0SxjmKamCaXEBwuQdiMxor,40,0.824,0.757,11,-5.047,1,0.0743,0.368,0.000111,0.146,0.97,100.027,257440,4,0
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),The Secret Land of Apollo,0I9MTSF24UHsYZX1BlAnSI,30,0.173,0.218,2,-19.306,0,0.0444,0.965,0.857,0.0846,0.0355,122.058,109454,4,1
3 Doors Down,Away From The Sun,When I'm Gone,3WbphvawbMZ8FyqDxYGdSQ,69,0.53,0.768,7,-5.611,1,0.0284,0.00385,0,0.103,0.374,148.095,260333,4,1
Shinedown,Leave a Whisper (Deluxe Edition),45,420JGkyLfLUZcgBHKiIK9v,67,0.446,0.657,7,-4.494,1,0.0262,0.0022,0,0.189,0.215,152.132,250093,3,1
Shinedown,Leave a Whisper (Deluxe Edition),Simple Man - Rock Version,6WXdlIUbsqFSS6T63eCBxx,60,0.532,0.625,7,-4.95,1,0.0293,0.064,0,0.223,0.225,120.853,265800,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Kephallonia Island,1oW1bLKBj5ELK1C8BJ3dYQ,36,0.546,0.0618,9,-15.136,0,0.0347,0.983,0.35,0.0802,0.128,77.917,127267,4,1
Amaal Mallik,M.S.Dhoni - The Untold Story,Jab Tak,35RWttZt8zGGzT0mWtlXpn,60,0.299,0.447,3,-7.862,0,0.0383,0.858,0.000314,0.097,0.321,121.723,174039,4,1
Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2Fv2injs4qAm8mJBGaxVKU,68,0.427,0.396,11,-7.556,1,0.0366,0.736,0,0.11,0.306,70.368,284780,4,1
Red,End Of Silence,Pieces,43khiAjVYp8XK8yB4pMfOk,45,0.283,0.354,8,-11.552,0,0.0288,0.344,0.000245,0.0758,0.0644,93.02,358373,4,0
Shankar-Ehsaan-Loy,Dil Dhadakne Do,Gallan Goodiyaan,7hNYvX0qAKrxtVr1jGDmvR,58,0.83,0.858,6,-3.18,0,0.0554,0.134,1.72e-05,0.0567,0.949,119.974,296500,4,0
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Korinth,41wyGaKXh7zU2e49sDwAkL,30,0.619,0.46,9,-10.6,1,0.0266,0.296,0.951,0.115,0.121,112.963,58775,1,1
Pritam,Kalank,Kalank (Title Track),6vo7Y1iWyZvpjvFbf6BiZ5,66,0.57,0.55,10,-8.343,1,0.035,0.524,3.73e-05,0.0921,0.435,117.999,311186,4,1
Rochak Kohli,Aiyaary,Lae Dooba,4cNbz1UdBCrnGOg0NNP1iF,61,0.569,0.297,6,-8.639,1,0.0292,0.879,0,0.0938,0.466,89.96,229878,4,0
Stone Sour,Audio Secrecy (Special Edition),Hesitate,0vgpbEfkcUF09VNkcrQRWi,49,0.448,0.805,10,-4.194,1,0.0365,0.000946,6.12e-05,0.134,0.201,125.998,256347,4,0
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Barnabas,55hGrn3yRc1S6WK6xULYmc,33,0.702,0.172,7,-15.417,1,0.0636,0.827,0.911,0.0845,0.435,159.932,76901,3,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Pandora’s Cove,5T2xUY5LjdM5Y7FTBkYwdF,26,0.2,0.278,2,-19.147,0,0.0364,0.889,0.934,0.108,0.0703,148.025,114847,4,1
Ved Sharma,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Malang (Title Track) [From ""Malang - Unleash The Madness""]",25MPTnqXQB1H6OkwSYUXWx,69,0.384,0.728,7,-6.503,0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,287374,4,0
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Sokrates,5ZGmOoCNiuFYKf0MrTeKuy,29,0.731,0.152,0,-14.089,1,0.0489,0.851,0.851,0.118,0.0785,95.961,75960,4,1
Vishal-Shekhar,Best of Me Vishal Shekhar,"Jaane Kyun (From ""Dostana"")",4w90JoFrkoYfxe4S8DWD7T,44,0.778,0.812,4,-8.561,0,0.046,0.0573,8.28e-06,0.243,0.791,99.962,277987,4,1
Shankar-Ehsaan-Loy,Karthik Calling Karthik,Uff Teri Adaa,0og9wKFGgFFNQnrBe7eisG,60,0.647,0.792,2,-9.815,1,0.0373,0.00536,5.82e-05,0.054,0.306,132.032,304089,4,0
A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),Masti Ki Paathshala,2cZ2Q33G9mkS8fIVKM591T,41,0.845,0.686,7,-6.728,1,0.0781,0.00131,5.35e-05,0.129,0.874,146.954,219853,4,1
Tulsi Kumar,Tere Naal,Tere Naal,2Vw94w6FxCyaYwyCivi9Py,67,0.315,0.491,11,-7.0,1,0.0311,0.748,0,0.128,0.245,109.966,198345,4,0
Various Artists,Badrinath Ki Dulhania,Humsafar,6TFESXMfJJWwccviaxGAMa,60,0.319,0.552,7,-6.401,1,0.0307,0.719,0,0.144,0.221,93.991,268463,4,0
Alazka,Empty Throne (Acoustic),Empty Throne - Acoustic,6ENH2r9VtuBrPmAV5R7t1f,41,0.561,0.352,3,-10.151,1,0.0247,0.608,0,0.23,0.266,99.966,295800,4,0
Rochak Kohli,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",57jOEZtoLQK4zF2x55bdkp,71,0.718,0.382,7,-8.237,1,0.0466,0.585,0,0.128,0.499,87.029,200992,4,1
Various Artists,Kesari,Ve Maahi,4t1DkxexoMbIHfSHS4Uiyr,66,0.65,0.551,0,-6.906,1,0.0274,0.405,0,0.219,0.294,102.934,223999,4,1
Salim–Sulaiman,Kurbaan (Original Motion Picture Soundtrack),Shukran Allah,3nKEiJUeaWn8q2O9I1xwlB,60,0.432,0.695,1,-8.022,1,0.111,0.732,0.0014,0.274,0.513,116.153,290053,3,1
Sanjay Leela Bhansali,Bajirao Mastani (Original Motion Picture Soundtrack),"Malhari (From ""Bajirao Mastani"")",7EvAlx0lOLbZgCKH50wnUU,49,0.507,0.932,1,-4.501,0,0.0762,0.0592,0,0.302,0.311,114.961,244048,3,1
Shankar-Ehsaan-Loy,Wake Up Sid (Original Motion Picture Soundtrack),Iktara,3jtKSUiVDowKNBqVQbWaig,50,0.616,0.525,7,-7.065,1,0.0258,0.401,0.000484,0.309,0.427,79.976,253773,4,1
Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack),The Breakup Song,7BjQd0sfYsMGVrTpRdBNTT,53,0.818,0.93,11,-2.982,1,0.247,0.33,0,0.658,0.831,113.988,252632,4,0
Sachet Tandon,"Mere Sohneya (From ""Kabir Singh"")","Mere Sohneya (From ""Kabir Singh"")",2IoZMG3RqiTmsy7Li3zGFg,58,0.376,0.643,9,-5.713,1,0.0411,0.558,0,0.217,0.646,136.224,193356,5,1
EA Games Soundtrack,"EA Sports Soundtrax, Vol. 1",I Am Rock,3R2QHJmKqXTHF5ig3Nm0Kb,0,0.651,0.543,6,-8.638,1,0.247,0.0135,0,0.274,0.635,91.691,230827,4,0
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),The Hills of Attika,0A6ZCAv9N2sjqVBJdilH41,32,0.559,0.115,4,-19.927,0,0.0245,0.819,0.931,0.0916,0.092,94.999,155552,4,1
Celldweller,Celldweller 10 Year Anniversary (Deluxe Edition),Shapeshifter,46hNK8wLZGxviapoZuI6bc,0,0.622,0.956,6,-3.658,1,0.133,0.00268,0,0.394,0.557,115.963,217226,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Medusa,7LBa9eh4Bi9dfl7dTJ7eq8,26,0.39,0.939,8,-10.763,1,0.0807,0.0533,0.912,0.0592,0.0966,179.922,200455,4,1
Five Finger Death Punch,War is the Answer,Far From Home,70WpP83384wgKixTKbt3Nb,56,0.464,0.688,11,-5.352,0,0.0298,0.00149,3.85e-06,0.169,0.228,137.882,212493,4,1
Meet Bros.,Befikra,Befikra,06wTXKpDMrSp5OfB7MErpx,54,0.6,0.979,10,-3.513,1,0.243,0.138,0,0.1,0.453,137.064,351579,4,0
Sanjay Leela Bhansali,Ram-Leela (Original Motion Picture Soundtrack),Nagada Sang Dhol,4ila6GeGBPGmJTGRoHOV5E,0,0.73,0.944,3,-3.48,0,0.164,0.266,0.00443,0.0354,0.657,113.309,273319,3,0
Pritam,Love Aaj Kal,"Chor Bazari (From ""Love Aaj Kal "")",6XE0MxTJdLWEePTCqAw5xr,49,0.824,0.757,11,-5.047,1,0.0743,0.368,0.000111,0.146,0.97,100.027,257440,4,0
Pritam,Yeh Jawaani Hai Deewani,Kabira (Encore),3jJ5HgLRNydtLRghjWVaCG,58,0.613,0.612,2,-7.978,1,0.114,0.438,0,0.18,0.898,171.838,270439,4,0
Pritam,Desi Boyz,Subha Hone Na De,6WediUhXDfm8FR3wlM0r3G,59,0.728,0.9,8,-4.529,1,0.0452,0.0805,0.0485,0.154,0.503,131.971,288696,4,0
Vishal-Shekhar,Student of the Year (Original Motion Picture Soundtrack),Radha,6f7zyAEUCZuvX4Zty62Z5o,53,0.804,0.748,1,-14.163,0,0.0616,0.11,0,0.0998,0.699,131.989,341360,4,0
Various Artists,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Buddhu Sa Mann,1dxbiVeiV7nQ2V9qXnhJiB,59,0.644,0.87,10,-4.816,1,0.0394,0.193,0,0.549,0.702,125.998,206858,4,1
Sanjay Leela Bhansali,Bajirao Mastani (Original Motion Picture Soundtrack),"Pinga (From ""Bajirao Mastani"")",40L4hEqXt6myCk6VcB9bDq,41,0.644,0.84,9,-3.753,1,0.172,0.39,0,0.246,0.818,95.11,255169,4,0
Various Artists,New York (Original),Hai Junoon,5u4q3iqZ9IMbXaR7bsGYbW,51,0.739,0.664,2,-10.582,1,0.0338,0.539,1.14e-06,0.0856,0.878,106.021,331572,4,1
